timestamp,stat_type,n_amostras,rmse,numTrees,maxDepth
2025-04-17 14:19:22,total_corners,409,0.1636986826253952,100,15
2025-04-17 14:19:32,total_yellow_cards,101,0.25516048143693554,100,10
2025-04-17 15:18:58,total_fouls,51,0.8337253979672721,20,10
2025-04-17 15:19:11,total_fouls,54,0.8434872742922708,50,10
2025-04-17 15:19:27,total_fouls,48,0.8366201846317914,100,10
2025-04-17 15:19:38,total_fouls,20,1.1823366694812436,50,10
2025-04-17 15:19:52,total_fouls,101,0.495319299583212,100,10
2025-04-17 15:20:04,total_fouls,62,0.7527926501989431,50,10
2025-04-17 15:20:11,total_fouls,3,1.9367670656706928,100,5
2025-04-17 15:20:21,total_fouls,41,0.8782901954859964,20,5
2025-04-17 15:20:30,total_fouls,34,0.8513932026072596,20,5
2025-04-17 15:20:45,total_corners,260,0.24406973161126896,20,10
2025-04-17 15:21:01,total_corners,319,0.20371702667977382,50,15
2025-04-17 15:21:16,total_corners,261,0.2144754918167535,100,15
2025-04-17 15:21:28,total_corners,139,0.2782991564484925,100,15
2025-04-17 15:21:46,total_corners,409,0.18953205074958188,50,15
2025-04-17 15:22:07,total_corners,309,0.18306604227991116,100,15
2025-04-17 15:22:15,total_corners,5,0.7043720607747017,100,5
2025-04-17 15:22:31,total_corners,261,0.22362217078382607,100,15
2025-04-17 15:22:49,total_corners,319,0.20310701598977396,100,15
2025-04-17 15:22:59,total_yellow_cards,51,0.31646020101037886,20,10
2025-04-17 15:23:11,total_yellow_cards,54,0.3240484645965899,50,10
2025-04-17 15:23:20,total_yellow_cards,48,0.4464559515413214,20,10
2025-04-17 15:23:28,total_yellow_cards,20,0.4224369367861013,20,5
2025-04-17 15:23:39,total_yellow_cards,101,0.2539538821467901,20,10
2025-04-17 15:23:49,total_yellow_cards,62,0.4005721714199941,50,10
2025-04-17 15:23:56,total_yellow_cards,3,0.7657022920169433,100,5
2025-04-17 15:24:05,total_yellow_cards,41,0.44909665427171536,50,10
2025-04-17 15:24:14,total_yellow_cards,34,0.3078125247756511,100,5
2025-04-17 17:02:26,total_fouls,51,0.7821238054546247,50,10
2025-04-17 17:02:39,total_fouls,54,0.7598818134225677,100,10
2025-04-17 17:02:49,total_fouls,48,0.7851565661276315,100,10
2025-04-17 17:03:00,total_fouls,20,1.2912445546835816,20,5
2025-04-17 17:03:13,total_fouls,101,0.4751895926287441,100,10
2025-04-17 17:03:24,total_fouls,62,0.644229972963472,50,10
2025-04-17 17:03:30,total_fouls,3,3.10188114966816,20,5
2025-04-17 17:03:40,total_fouls,41,0.7698653667537131,50,10
2025-04-17 17:03:50,total_fouls,34,0.776727675799531,50,10
2025-04-17 17:04:06,total_corners,260,0.2344935213144738,50,15
2025-04-17 17:04:28,total_corners,319,0.2047968705239227,100,10
2025-04-17 17:04:53,total_corners,261,0.23205900880482,50,15
2025-04-17 17:05:11,total_corners,139,0.330630529084339,20,15
2025-04-17 17:05:32,total_corners,409,0.179111271548616,50,15
2025-04-17 17:05:55,total_corners,309,0.19677898169657373,50,15
2025-04-17 17:06:04,total_corners,5,0.8778154703580927,50,5
2025-04-17 17:06:24,total_corners,261,0.20173518251776176,100,15
2025-04-17 17:06:45,total_corners,319,0.21737389599100265,50,15
2025-04-17 17:06:59,total_yellow_cards,51,0.26413009272393195,50,10
2025-04-17 17:07:11,total_yellow_cards,54,0.27284961715246536,100,10
2025-04-17 17:07:23,total_yellow_cards,48,0.3085147434776469,100,5
2025-04-17 17:07:38,total_yellow_cards,20,0.3920841746360086,100,10
2025-04-17 17:07:52,total_yellow_cards,101,0.23261322166009626,20,10
2025-04-17 17:08:06,total_yellow_cards,62,0.3485268536884002,50,10
2025-04-17 17:08:14,total_yellow_cards,3,0.8779711460710614,20,5
2025-04-17 17:08:23,total_yellow_cards,41,0.3600812916347722,50,10
2025-04-17 17:08:33,total_yellow_cards,34,0.3524076850333831,20,10
2025-04-21 22:30:40,total_fouls,6,1.0563537917446666,100,5
2025-04-21 22:30:51,total_fouls,3,2.6790732228390715,100,5
2025-04-21 22:31:04,total_fouls,52,0.8806354499948013,100,10
2025-04-21 22:31:14,total_fouls,42,0.826890330725677,100,10
2025-04-21 22:31:26,total_fouls,54,0.874041273709742,50,10
2025-04-21 22:31:36,total_fouls,40,0.8943125851736632,100,10
2025-04-21 22:31:48,total_fouls,50,0.8953837166265645,100,10
2025-04-21 22:31:58,total_fouls,63,0.7562543453895887,50,10
2025-04-21 22:32:06,total_fouls,4,2.426344987836642,100,5
2025-04-21 22:32:12,total_corners,6,1.4435604132375848,50,5
2025-04-21 22:32:19,total_corners,3,1.714487289736108,50,5
2025-04-21 22:32:28,total_corners,52,0.5411312936091175,50,10
2025-04-21 22:32:38,total_corners,42,0.6370841313956821,100,10
2025-04-21 22:32:47,total_corners,54,0.6211130987843366,100,10
2025-04-21 22:32:56,total_corners,40,0.7695583148793859,100,10
2025-04-21 22:33:06,total_corners,50,0.48823764705315364,100,10
2025-04-21 22:33:14,total_corners,63,0.4606741092362745,100,10
2025-04-21 22:33:21,total_corners,4,0.8978864070694018,50,5
2025-04-21 22:33:28,total_yellow_cards,6,0.9390420650854784,100,5
2025-04-21 22:33:34,total_yellow_cards,3,1.0207676849639524,100,5
2025-04-21 22:33:42,total_yellow_cards,52,0.3021429870365762,100,10
2025-04-21 22:33:51,total_yellow_cards,42,0.4108643618148498,100,10
2025-04-21 22:34:00,total_yellow_cards,54,0.40887581224880876,20,5
2025-04-21 22:34:08,total_yellow_cards,40,0.28133162633072323,100,5
2025-04-21 22:34:17,total_yellow_cards,50,0.4029689814365369,50,10
2025-04-21 22:34:28,total_yellow_cards,63,0.36818516735511964,100,10
2025-04-21 22:34:34,total_yellow_cards,4,0.6534523701081818,50,5
2025-04-21 22:34:40,total_goals,6,0.6241661103691335,20,5
2025-04-21 22:34:46,total_goals,3,1.1224972160321824,20,5
2025-04-21 22:34:56,total_goals,52,0.26506167642209677,100,10
2025-04-21 22:35:04,total_goals,42,0.25970221041654246,100,10
2025-04-21 22:35:12,total_goals,54,0.2060070117469036,100,10
2025-04-21 22:35:20,total_goals,40,0.23964557162609954,100,10
2025-04-21 22:35:28,total_goals,50,0.28653566497911837,20,5
2025-04-21 22:35:36,total_goals,63,0.22768207892897083,100,5
2025-04-21 22:35:42,total_goals,4,0.6356492743644092,100,5
